year,y_1,y_n_real_obs,y_n_real_EH,term_prem,eh_method,state_var_y1_mean,state_var_y1_lag_coeff,state_var_max_abs_eig,infl_ar1_mu,infl_ar1_phi,eh_spread
1920,0.004832438712107395,0.020152915521359022,0.019684221813812994,0.0004686937075460279,baseline_state_var,0.020226026993392984,0.8798696810275917,0.9295723156955542,0.021066761727161383,0.38836753275618896,0.0148517831017056
1921,0.048736530200716555,0.028259900629850544,0.03673477222419337,-0.008474871594342827,baseline_state_var,0.020226026993392984,0.8798696810275917,0.9295723156955542,0.021066761727161383,0.38836753275618896,-0.012001757976523184
1922,0.07639096133654692,0.029646035036128233,0.04394517078845067,-0.014299135752322438,baseline_state_var,0.020226026993392984,0.8798696810275917,0.9295723156955542,0.021066761727161383,0.38836753275618896,-0.03244579054809625
1923,0.04460905868015739,0.024432340687038843,0.0307990667904263,-0.006366726103387458,baseline_state_var,0.020226026993392984,0.8798696810275917,0.9295723156955542,0.021066761727161383,0.38836753275618896,-0.013809991889731088
1924,0.02051446122964303,0.018583018451031642,0.021608975394846946,-0.0030259569438153035,baseline_state_var,0.020226026993392984,0.8798696810275917,0.9295723156955542,0.021066761727161383,0.38836753275618896,0.0010945141652039143
1925,0.02508481579960746,0.018144459919865557,0.021493998335545626,-0.0033495384156800694,baseline_state_var,0.020226026993392984,0.8798696810275917,0.9295723156955542,0.021066761727161383,0.38836753275618896,-0.0035908174640618337
1926,0.01578320288464878,0.014245147057413813,0.016196470684463726,-0.0019513236270499133,baseline_state_var,0.020226026993392984,0.8798696810275917,0.9295723156955542,0.021066761727161383,0.38836753275618896,0.0004132677998149453
1927,0.03319620395239105,0.013838544264353433,0.020111049327937985,-0.006272505063584552,baseline_state_var,0.020226026993392984,0.8798696810275917,0.9295723156955542,0.021066761727161383,0.38836753275618896,-0.013085154624453064
1928,0.04134794495677187,0.014479678878577432,0.020225517565587763,-0.00574583868701033,baseline_state_var,0.020226026993392984,0.8798696810275917,0.9295723156955542,0.021066761727161383,0.38836753275618896,-0.021122427391184105
1929,0.049994080271853356,0.01637623782514116,0.02087912237447305,-0.004502884549331891,baseline_state_var,0.020226026993392984,0.8798696810275917,0.9295723156955542,0.021066761727161383,0.38836753275618896,-0.029114957897380306
1930,0.025512326132067744,0.012270971177319012,0.013524590669008801,-0.0012536194916897888,baseline_state_var,0.020226026993392984,0.8798696810275917,0.9295723156955542,0.021066761727161383,0.38836753275618896,-0.011987735463058943
1931,0.0367915906789361,0.01732133267130944,0.0207706633809069,-0.003449330709597461,baseline_state_var,0.020226026993392984,0.8798696810275917,0.9295723156955542,0.021066761727161383,0.38836753275618896,-0.0160209272980292
1932,0.058144206859451604,0.022619220918875242,0.03317920391347532,-0.010559982994600078,baseline_state_var,0.020226026993392984,0.8798696810275917,0.9295723156955542,0.021066761727161383,0.38836753275618896,-0.024965002945976283
1933,0.04371198248749594,0.01971791322667832,0.028314417804173535,-0.008596504577495216,baseline_state_var,0.020226026993392984,0.8798696810275917,0.9295723156955542,0.021066761727161383,0.38836753275618896,-0.015397564683322408
1934,-0.005789159099856583,0.01051114949402521,0.007472252005866474,0.003038897488158736,baseline_state_var,0.020226026993392984,0.8798696810275917,0.9295723156955542,0.021066761727161383,0.38836753275618896,0.013261411105723058
1935,-0.011253323943276947,0.006833909772880755,0.005394892887802745,0.0014390168850780104,baseline_state_var,0.020226026993392984,0.8798696810275917,0.9295723156955542,0.021066761727161383,0.38836753275618896,0.01664821683107969
1936,-0.016836498639662148,0.004558220826300023,8.940730170581088e-05,0.004468813524594212,baseline_state_var,0.020226026993392984,0.8798696810275917,0.9295723156955542,0.021066761727161383,0.38836753275618896,0.016925905941367957
1937,-0.00971172824719689,0.005804408892496369,0.0009762991461380587,0.00482810974635831,baseline_state_var,0.020226026993392984,0.8798696810275917,0.9295723156955542,0.021066761727161383,0.38836753275618896,0.010688027393334949
1938,-0.015064263766582504,0.0037599915174790326,0.0019891265399774333,0.0017708649775015992,baseline_state_var,0.020226026993392984,0.8798696810275917,0.9295723156955542,0.021066761727161383,0.38836753275618896,0.01705339030655994
