year,theta,y_1,y_n_real_obs,y_n_real_EH,term_prem,y_n_real_theta,spr_theta,r_n_real_theta,duration_theta,xb_theta
1920,0.0,0.004832438712107395,0.020152915521359022,0.019684221813812994,0.0004686937075460279,0.019684221813812994,0.0148517831017056,-0.11187537451407123,9.166943190999357,-0.08087699199406267
1921,0.0,0.048736530200716555,0.028259900629850544,0.03673477222419337,-0.008474871594342827,0.03673477222419337,-0.012001757976523184,-0.11956665476303432,8.523599802304537,-0.12439909347514172
1922,0.0,0.07639096133654692,0.029646035036128233,0.04394517078845067,-0.014299135752322438,0.04394517078845067,-0.03244579054809625,-0.017513380988389782,8.271244862489,-0.06624991118910634
1923,0.0,0.04460905868015739,0.024432340687038843,0.0307990667904263,-0.006366726103387458,0.0307990667904263,-0.013809991889731088,0.1395337119458315,8.739902866950347,0.06314275060928458
1924,0.0,0.02051446122964303,0.018583018451031642,0.021608975394846946,-0.0030259569438153035,0.021608975394846946,0.0010945141652039143,0.10192948153060666,9.090865398534833,0.05732042285044927
1925,0.0,0.02508481579960746,0.018144459919865557,0.021493998335545626,-0.0033495384156800694,0.021493998335545626,-0.0035908174640618337,0.022539239305573278,9.095384407254663,0.002024778075930246
1926,0.0,0.01578320288464878,0.014245147057413813,0.016196470684463726,-0.0019513236270499133,0.016196470684463726,0.0004132677998149453,0.06437952107911446,9.307149138907981,0.039294705279507
1927,0.0,0.03319620395239105,0.013838544264353433,0.020111049327937985,-0.006272505063584552,0.020111049327937985,-0.013085154624453064,-0.016322517922861046,9.149993578193406,-0.03210572080750983
1928,0.0,0.04134794495677187,0.014479678878577432,0.020225517565587763,-0.00574583868701033,0.020225517565587763,-0.021122427391184105,0.01917813392618517,9.145455630699383,-0.014018070026205878
1929,0.0,0.049994080271853356,0.01637623782514116,0.02087912237447305,-0.004502884549331891,0.02087912237447305,-0.029114957897380306,0.014901608594800886,9.11960622606423,-0.026446336361970982
1930,0.0,0.025512326132067744,0.012270971177319012,0.013524590669008801,-0.0012536194916897888,0.013524590669008801,-0.011987735463058943,0.08059502379994735,9.41664474904234,0.03060094352809399
1931,0.0,0.0367915906789361,0.01732133267130944,0.0207706633809069,-0.003449330709597461,0.0207706633809069,-0.0160209272980292,-0.047463029172767346,9.123888386684879,-0.0729753553048351
1932,0.0,0.058144206859451604,0.022619220918875242,0.03317920391347532,-0.010559982994600078,0.03317920391347532,-0.024965002945976283,-0.08003493494733424,8.652216413706919,-0.11682652562627034
1933,0.0,0.04371198248749594,0.01971791322667832,0.028314417804173535,-0.008596504577495216,0.028314417804173535,-0.015397564683322408,0.07040560002824786,8.832826122021103,0.012261393168796257
1934,0.0,-0.005789159099856583,0.01051114949402521,0.007472252005866474,0.003038897488158736,0.007472252005866474,0.013261411105723058,0.19156747850864786,9.671566243269924,0.14785549602115192
1935,0.0,-0.011253323943276947,0.006833909772880755,0.005394892887802745,0.0014390168850780104,0.005394892887802745,0.01664821683107969,0.025486209209216897,9.761324807081095,0.03127536830907348
1936,0.0,-0.016836498639662148,0.004558220826300023,8.940730170581088e-05,0.004468813524594212,8.940730170581088e-05,0.016925905941367957,0.051877975366884994,9.995977810281564,0.06313129931016194
1937,0.0,-0.00971172824719689,0.005804408892496369,0.0009762991461380587,0.00482810974635831,0.0009762991461380587,0.010688027393334949,-0.00788905205092638,9.95620205023881,0.008947446588735768
1938,0.0,-0.015064263766582504,0.0037599915174790326,0.0019891265399774333,0.0017708649775015992,0.0019891265399774333,0.01705339030655994,-0.00809478763510418,9.911050478445715,0.0016169406120927106
1939,0.0,0.003639916825013417,0.005385255953854275,0.00708278350323865,-0.0016975275493843747,0.00708278350323865,0.003442866678225233,-0.043400707779529785,9.688305043673761,-0.02833644401294728
1940,0.0,-0.007300737158120591,0.002130141844677559,0.0023098767218390644,-0.0001797348771615053,0.0023098767218390644,0.009610613879959656,0.048551253565057365,9.896811719239746,0.044911336740043946
1941,0.0,-0.010363304419649241,-0.0008687831932387702,0.0014675370399877276,-0.002336320233226498,0.0014675370399877276,0.011830841459636969,0.009804014274914716,9.934266666717642,0.017104751433035307
1942,0.0,-0.04336977796443498,-0.0014373772843126187,-0.006205406171008476,0.004768028886695857,-0.006205406171008476,0.03716437179342651,0.07001965780560854,10.284812137521778,0.08038296222525777
1943,0.0,-0.03959234941788579,-0.0008196807332699028,-0.004897915512045649,0.004078234778775746,-0.004897915512045649,0.034694433905840136,-0.018345211311042872,10.223864739088137,0.02502456665339211
1944,0.0,-0.01703438240889127,0.002917071479776205,0.0025270692064361692,0.0003900022733400359,0.0025270692064361692,0.01956145161532744,-0.07338497024511835,9.887186481290627,-0.03379262082723256
