label,estimator,sample_start,sample_end,nobs,mu,rho,intercept,sigma,eh_multiplier,max_abs_eig,mean_eh_spread,std_eh_spread,mean_abs_eh_spread,max_abs_eh_spread,mean_term_prem,std_term_prem
baseline_state_var,state_var,1920,2011,92,0.020226026993392984,0.8798696810275917,0.011893990879794121,0.017664111993053157,,0.9295723156955542,1.2821869170263356e-18,0.014992229203492876,0.011814805907914531,0.05086967409620069,0.007180901395220796,0.010053927047116178
ar1_mean_pinned,mean_pinned,1920,2011,92,0.020226026993392984,0.797367399320514,0.004098452451084704,0.01799125765271351,0.4422325745057758,,-1.5838779563266499e-18,0.016379441382842475,0.012768375146468548,0.04895859878107152,0.007180901395220797,0.016069402338696765
ar1_ols_full_sample,ols,1920,2011,92,0.019536919969916158,0.7974310802333672,0.003957572773873073,0.017991257556015845,0.44233062269136664,,-0.0003842938846813292,0.016376562092236438,0.01276799384731807,0.04856569861793049,0.007565195279902123,0.016068358870478392
ar1_mean_pinned_post1980,mean_pinned,1980,2011,32,0.03104246992935291,0.8477212023803067,0.0047271099959873475,0.016980594929386035,0.5308292860887076,,0.005074758254245073,0.013777703493973491,0.011515697477271115,0.04625669124694136,0.0021061431409757237,0.015319436323243415
fixed_rho_0p70,fixed_rho,1920,2011,92,0.020226026993392984,0.7,0.006067808098017896,,0.32391749169999995,,-1.885568995626964e-18,0.01985389126095467,0.015476836224867044,0.05934382460114268,0.007180901395220797,0.017628782555883984
fixed_rho_0p80,fixed_rho,1920,2011,92,0.020226026993392984,0.8,0.004045205398678596,,0.4463129088000001,,-1.4330324366764928e-18,0.016259617970180062,0.012674968402707043,0.048600443319722075,0.007180901395220797,0.0160263575424931
fixed_rho_0p90,fixed_rho,1920,2011,92,0.020226026993392984,0.9,0.002022602699339298,,0.6513215599000001,,-7.919389781633249e-19,0.010239318056299867,0.007981923872189923,0.03060560203446759,0.007180901395220799,0.014979849442496272
fixed_rho_0p95,fixed_rho,1920,2011,92,0.020226026993392984,0.95,0.00101130134966965,,0.802526121523242,,-3.9596948908166247e-19,0.0057990331979078805,0.0045205590121818575,0.017333469012678626,0.007180901395220796,0.015713420788548958
