year,P,D,R,RLONG,CPI,CAPE,pi,long_yield_pct,y_1_nom,y_10_nom_obs,spr_nom,cape,rtb,xr,long_yield_source,rtb_z,xr_z,y_1_nom_z,spr_nom_z,cape_z,y_1_real,y_10_real_EH,y_10_nom_EH,pi_10_VAR,term_prem_nom,y_10_real_obs_implied,spr_real_obs_implied,maturity_n,theta,y_10_real_theta,spr_theta,r_10_real_theta,duration_theta,xb_theta
1920,8.83,0.51,7.3,4.97,19.3,5.98966777113944,0.15674471500430492,4.97,0.07045846364856141,0.04850440905961498,-0.021954054588946434,-1.790035946672557,-0.10263538935727298,0.11968339479940221,shiller,-0.10263538935727298,0.11968339479940221,0.07045846364856141,-0.021954054588946434,-1.790035946672557,-0.006524094738060621,0.02879203552792357,0.06158643653329075,0.03279440100536718,-0.013082027473675775,0.015710008054247795,0.022234102792308415,20,0.25,0.025521528659504626,0.03204562339756525,-0.06794520178835256,20.0,-0.04715524066426219
1921,7.11,0.46,7.44,5.09,19.0,5.122184146887376,-0.015666116744399463,5.09,0.07176236622689078,0.04964693988941377,-0.022115426337477005,-1.6335809392762046,0.08612458039296088,-0.22442041081507264,shiller,0.08612458039296088,-0.22442041081507264,0.07176236622689078,-0.022115426337477005,-1.6335809392762046,0.08902727604784712,0.03215194010169237,0.05468644054260804,0.02253450044091567,-0.005039500653194265,0.027112439448498102,-0.061914836599349016,20,0.25,0.0308920649383938,-0.058135211109453314,-0.07651866063938961,20.0,-0.06999456590132899
1922,7.3,0.51,4.58,4.3,16.9,6.287087290347126,-0.11712535723741281,4.3,0.044782142771893185,0.042101176018635396,-0.0026809667532577894,-1.8384978935652554,0.1888877234643036,0.0221403538095543,shiller,0.1888877234643036,0.0221403538095543,0.044782142771893185,-0.0026809667532577894,-1.8384978935652554,0.10275630225882547,0.02587707100176616,0.04296488256921031,0.017087811567444145,-0.0008637065505749109,0.02501336445119125,-0.07774293780763422,20,0.25,0.025661144364122434,-0.07709515789470303,0.1302795558495497,20.0,0.04125227980170258
1923,8.9,0.53,4.96,4.36,16.8,8.15420048306915,-0.005934735519814466,4.36,0.048409139207687545,0.04267627428043632,-0.005732864927251224,-2.0985331911771135,0.05071687829170765,0.21123960571912748,shiller,0.05071687829170765,0.21123960571912748,0.048409139207687545,-0.005732864927251224,-2.0985331911771135,0.038084161254993254,0.023556654247922977,0.04810606552013156,0.024549411272208582,-0.005429791239695239,0.018126863008227738,-0.019957298246765516,20,0.25,0.022199206437999167,-0.015884954816994087,0.09143796496046452,20.0,-0.011318337298360945
1924,8.83,0.55,4.34,4.06,17.3,8.072249446037373,0.02932761509451992,4.06,0.0424846116061553,0.039797469874066085,-0.0026871417320892127,-2.088432185204824,0.019081524113167624,0.004119347072351648,shiller,0.019081524113167624,0.004119347072351648,0.0424846116061553,-0.0026871417320892127,-2.088432185204824,0.027380084810166634,0.02071861311174115,0.04536486119694982,0.024646248085208666,-0.0055673913228837316,0.01515122178885742,-0.012228863021309214,20,0.25,0.019326765281020217,-0.008053319529146417,0.07677558842059923,20.0,0.038691427165605974
1925,10.58,0.6,3.87,3.86,17.3,9.692618852254993,0.0,3.86,0.03796993125162867,0.037873652428081515,-9.627882354715234e-05,-2.2713646527787117,0.0424846116061553,0.19348684150492915,shiller,0.0424846116061553,0.19348684150492915,0.03796993125162867,-9.627882354715234e-05,-2.2713646527787117,0.027368639353561236,0.019443844013773966,0.04316366295533422,0.023719818941560254,-0.0052900105272527045,0.014153833486521262,-0.013214805867039974,20,0.25,0.01812134138196079,-0.009247297971600447,0.042229819363149346,20.0,0.014849734552982712
1926,12.65,0.69,4.28,3.68,17.9,11.340966188506227,0.034094211342975925,3.68,0.04190940307720962,0.036139046615873194,-0.005770356461336425,-2.4284214964784474,0.003875719908652743,0.1938316828056957,shiller,0.003875719908652743,0.1938316828056957,0.04190940307720962,-0.005770356461336425,-2.4284214964784474,0.015402724328212037,0.01915537742472624,0.04396828326452794,0.024812905839801697,-0.007829236648654744,0.011326140776071497,-0.00407658355214054,20,0.25,0.017198068262562555,0.0017953439343505184,0.035663530650527187,20.0,0.00829489129696595
1927,13.4,0.77,4.26,3.34,17.5,13.185930628677793,-0.02259983191724092,3.34,0.0417175933518685,0.03285433687094718,-0.008863256480921317,-2.579150399694241,0.06450923499445053,0.07156043545185017,shiller,0.06450923499445053,0.07156043545185017,0.0417175933518685,-0.008863256480921317,-2.579150399694241,0.04809988620698234,0.019066920639251438,0.03928699742624944,0.020220076786998005,-0.006432660555302262,0.012634260083949175,-0.03546562612303317,20,0.25,0.017458755500425874,-0.03064113070655647,0.012245010743159479,20.0,-0.003157713585052558
1928,17.53,0.85,4.64,3.33,17.3,18.806128571700775,-0.011494379425735021,3.33,0.0453557017207972,0.032757564238172186,-0.012598137482625012,-2.934182804569831,0.05321197277760352,0.27429081661880694,shiller,0.05321197277760352,0.27429081661880694,0.0453557017207972,-0.012598137482625012,-2.934182804569831,0.03886752207156742,0.018504342791785137,0.039716573233163265,0.021212230441378127,-0.006959008994991078,0.01154533379679406,-0.02732218827477336,20,0.25,0.016764590543037368,-0.022102931528530052,0.030647889690807506,20.0,-0.017451996516174836
1929,24.86,0.97,6.01,3.6,17.1,27.08319962083279,-0.011628037995119099,3.6,0.05836324329691494,0.035367143837291316,-0.022996099459623623,-3.2989135954526065,0.0569837397159163,0.3422672064538087,shiller,0.0569837397159163,0.3422672064538087,0.05836324329691494,-0.022996099459623623,-3.2989135954526065,0.048447565052170405,0.020315186580887636,0.04171187062756083,0.021396684046673192,-0.0063447267902695115,0.013970459790618124,-0.03447710526155228,20,0.25,0.018729004883320258,-0.029718560168850147,-0.02055928192233758,20.0,-0.059426803993905
1930,21.71,0.98,4.15,3.29,17.1,22.31072429433685,0.0,3.29,0.040661981718889635,0.032370380030450716,-0.00829160168843892,-3.1050674729258394,0.05836324329691494,-0.14969903058772954,shiller,0.05836324329691494,-0.14969903058772954,0.040661981718889635,-0.00829160168843892,-3.1050674729258394,0.050269881457040144,0.014514725360330286,0.03386002056064501,0.01934529520031472,-0.0014896405301942917,0.013025084830135994,-0.03724479662690415,20,0.25,0.014142315227781713,-0.03612756622925843,0.1058761083385526,20.0,0.057428543286382194
1931,15.98,0.82,2.43,3.34,15.9,16.705478731547615,-0.07275935428242843,3.34,0.02400945246035187,0.03285433687094718,0.008844884410595312,-2.815736733377592,0.11342133600131807,-0.2970560791998768,shiller,0.11342133600131807,-0.2970560791998768,0.02400945246035187,0.008844884410595312,-2.815736733377592,0.06256177699817776,0.011544925238325777,0.02864678164697685,0.017101856408651073,0.00420755522397033,0.015752480462296107,-0.04680929653588166,20,0.25,0.01259681404431836,-0.0499649629538594,0.04350683771358543,20.0,-0.006763043743454711
1932,8.3,0.5,3.36,3.68,14.3,9.312406455177847,-0.10605957196032421,3.68,0.033047854046200344,0.036139046615873194,0.00309119256967285,-2.2313475385736523,0.13006902442067608,-0.6205956713143197,shiller,0.13006902442067608,-0.6205956713143197,0.033047854046200344,0.00309119256967285,-2.2313475385736523,0.08983416505326433,0.016865270548013376,0.03280569372480321,0.01594042317678983,0.0033333528910699864,0.020198623439083362,-0.06963554161418097,20,0.25,0.017698608770780874,-0.07213555628248346,-0.08433728575846938,20.0,-0.14689906275664716
1933,7.09,0.44,1.46,3.31,12.9,8.72804616281353,-0.10303222589823519,3.31,0.014494446150452565,0.03256399087326267,0.018069544722810107,-2.166541537565079,0.13608007994443552,-0.13040832703695046,shiller,0.13608007994443552,-0.13040832703695046,0.014494446150452565,0.018069544722810107,-2.166541537565079,0.05944289821868817,0.01374772715875539,0.030980467444891135,0.017232740286135743,0.001583523428371536,0.015331250587126926,-0.044111647631561245,20,0.25,0.014143608015848274,-0.0452992902028399,0.08524362311450029,20.0,-0.004590541938764042
1934,10.54,0.45,1.01,3.12,13.2,13.02511982833238,0.022989518224698562,3.12,0.01004933585300144,0.030723172642840583,0.020673836789839143,-2.56687978746908,-0.008495072074245998,0.42380598172104117,shiller,-0.008495072074245998,0.42380598172104117,0.01004933585300144,0.020673836789839143,-2.56687978746908,-0.027480913540291422,0.009483195520284865,0.0354171350382607,0.02593393951797584,-0.00469396239542012,0.004789233124864746,0.032270146665156166,20,0.25,0.008309704921429836,0.035790618461721255,0.12498776680979862,20.0,0.06554486859111044
