theta,max_abs_state_eig,min_eig_Omega,cond_Omega,max_abs_resid_corr,r2_cape,r2_spr,r2_y_1,r2_xr,r2_xb,sigma_r_cond_xr,sigma_r_cond_xb,M_xb_cape,M_xb_spr,M_xb_y_1
0.0,0.9018857476987223,2.534878949427256e-08,2709822.6068877256,0.98296926902358,0.8045284160325951,0.49721901954736714,0.5982035131522161,0.11596855154284258,0.005562081286741294,0.03699883124853229,0.004566927494074267,0.0020882064674451624,-18.889083652907885,-18.902639756317775
0.25,0.9226498240893797,1.6417539201540194e-08,4257499.310758849,0.9836949289811195,0.8009896893496086,0.40669327176403236,0.5497737847620009,0.103715637452365,0.003441712895664417,0.039672400723566585,0.0036507244864985534,0.0015339584477964683,-18.93633976058916,-18.945269491213857
0.5,0.9396966862225811,9.227049707910459e-09,7640067.2133058235,0.979031882822622,0.7998099448296973,0.36386979836180167,0.5226205086376111,0.09869787996349533,0.012672166735834156,0.04136014283279221,0.0027307440617611186,0.0011040925514166943,-18.975676886785212,-18.98038784410951
0.75,0.9431083207927484,4.0551342647213064e-09,17493195.940382678,0.9695507338100595,0.7994732329529419,0.3557086247971398,0.5084240216102878,0.09671942561503855,0.030474304833841726,0.042544610732173624,0.0018072410466145022,0.0007337355894025325,-18.994085138150634,-18.996214220193615
1.0,0.9404611303782892,9.691023393426834e-10,73711817.29436001,0.9668658455237127,0.7994119228402369,0.3709541246015292,0.500430531878287,0.09590082461911831,0.049210891759229436,0.04327389630470653,0.0008824312274390984,0.00036454401424958937,-18.999699882994687,-19.000451422713805
