year,P,D,R,RLONG,CPI,CAPE,pi,long_yield_pct,y_1_nom,y_10_nom_obs,spr_nom,cape,rtb,xr,long_yield_source,rtb_z,xr_z,y_1_nom_z,spr_nom_z,cape_z,y_1_real,y_10_real_EH,y_10_nom_EH,pi_10_VAR,term_prem_nom,y_10_real_obs_implied,spr_real_obs_implied,maturity_n,theta,y_10_real_theta,spr_theta,r_10_real_theta,duration_theta,xb_theta
1920,8.83,0.51,7.3,4.97,19.3,5.98966777113944,0.15674471500430492,4.97,0.07045846364856141,0.04850440905961498,-0.021954054588946434,-1.790035946672557,-0.10263538935727298,0.11968339479940221,shiller,-0.10263538935727298,0.11968339479940221,0.07045846364856141,-0.021954054588946434,-1.790035946672557,-0.006524094738060621,0.02879203552792357,0.06158643653329075,0.03279440100536718,-0.013082027473675775,0.015710008054247795,0.022234102792308415,20,0.5,0.022251021791085682,0.028775116529146303,-0.06558977683557848,20.0,-0.04479981571148811
1921,7.11,0.46,7.44,5.09,19.0,5.122184146887376,-0.015666116744399463,5.09,0.07176236622689078,0.04964693988941377,-0.022115426337477005,-1.6335809392762046,0.08612458039296088,-0.22442041081507264,shiller,0.08612458039296088,-0.22442041081507264,0.07176236622689078,-0.022115426337477005,-1.6335809392762046,0.08902727604784712,0.03215194010169237,0.05468644054260804,0.02253450044091567,-0.005039500653194265,0.027112439448498102,-0.061914836599349016,20,0.5,0.029632189775095234,-0.05939508627275188,-0.11799116990509578,20.0,-0.11146707516703516
1922,7.3,0.51,4.58,4.3,16.9,6.287087290347126,-0.11712535723741281,4.3,0.044782142771893185,0.042101176018635396,-0.0026809667532577894,-1.8384978935652554,0.1888877234643036,0.0221403538095543,shiller,0.1888877234643036,0.0221403538095543,0.044782142771893185,-0.0026809667532577894,-1.8384978935652554,0.10275630225882547,0.02587707100176616,0.04296488256921031,0.017087811567444145,-0.0008637065505749109,0.02501336445119125,-0.07774293780763422,20,0.5,0.025445217726478706,-0.07731108453234677,0.10918465869880928,20.0,0.02015738265096216
1923,8.9,0.53,4.96,4.36,16.8,8.15420048306915,-0.005934735519814466,4.36,0.048409139207687545,0.04267627428043632,-0.005732864927251224,-2.0985331911771135,0.05071687829170765,0.21123960571912748,shiller,0.05071687829170765,0.21123960571912748,0.048409139207687545,-0.005732864927251224,-2.0985331911771135,0.038084161254993254,0.023556654247922977,0.04810606552013156,0.024549411272208582,-0.005429791239695239,0.018126863008227738,-0.019957298246765516,20,0.5,0.020841758628075358,-0.017242402626917896,0.11291094059614237,20.0,0.010154638337316904
1924,8.83,0.55,4.34,4.06,17.3,8.072249446037373,0.02932761509451992,4.06,0.0424846116061553,0.039797469874066085,-0.0026871417320892127,-2.088432185204824,0.019081524113167624,0.004119347072351648,shiller,0.019081524113167624,0.004119347072351648,0.0424846116061553,-0.0026871417320892127,-2.088432185204824,0.027380084810166634,0.02071861311174115,0.04536486119694982,0.024646248085208666,-0.0055673913228837316,0.01515122178885742,-0.012228863021309214,20,0.5,0.017934917450299286,-0.009445167359867349,0.0760717410058207,20.0,0.03798757975082745
1925,10.58,0.6,3.87,3.86,17.3,9.692618852254993,0.0,3.86,0.03796993125162867,0.037873652428081515,-9.627882354715234e-05,-2.2713646527787117,0.0424846116061553,0.19348684150492915,shiller,0.0424846116061553,0.19348684150492915,0.03796993125162867,-9.627882354715234e-05,-2.2713646527787117,0.027368639353561236,0.019443844013773966,0.04316366295533422,0.023719818941560254,-0.0052900105272527045,0.014153833486521262,-0.013214805867039974,20,0.5,0.016798838750147614,-0.010569800603413622,0.03952041275318108,20.0,0.012140327943014444
1926,12.65,0.69,4.28,3.68,17.9,11.340966188506227,0.034094211342975925,3.68,0.04190940307720962,0.036139046615873194,-0.005770356461336425,-2.4284214964784474,0.003875719908652743,0.1938316828056957,shiller,0.003875719908652743,0.1938316828056957,0.04190940307720962,-0.005770356461336425,-2.4284214964784474,0.015402724328212037,0.01915537742472624,0.04396828326452794,0.024812905839801697,-0.007829236648654744,0.011326140776071497,-0.00407658355214054,20,0.5,0.01524075910039887,-0.00016196522781316766,0.0464023520953738,20.0,0.019033712741812564
1927,13.4,0.77,4.26,3.34,17.5,13.185930628677793,-0.02259983191724092,3.34,0.0417175933518685,0.03285433687094718,-0.008863256480921317,-2.579150399694241,0.06450923499445053,0.07156043545185017,shiller,0.06450923499445053,0.07156043545185017,0.0417175933518685,-0.008863256480921317,-2.579150399694241,0.04809988620698234,0.019066920639251438,0.03928699742624944,0.020220076786998005,-0.006432660555302262,0.012634260083949175,-0.03546562612303317,20,0.5,0.015850590361600306,-0.03224929584538204,0.003653965137571602,20.0,-0.011748759190640435
1928,17.53,0.85,4.64,3.33,17.3,18.806128571700775,-0.011494379425735021,3.33,0.0453557017207972,0.032757564238172186,-0.012598137482625012,-2.934182804569831,0.05321197277760352,0.27429081661880694,shiller,0.05321197277760352,0.27429081661880694,0.0453557017207972,-0.012598137482625012,-2.934182804569831,0.03886752207156742,0.018504342791785137,0.039716573233163265,0.021212230441378127,-0.006959008994991078,0.01154533379679406,-0.02732218827477336,20,0.5,0.015024838294289598,-0.023842683777277822,0.031539879640503754,20.0,-0.01656000656647859
1929,24.86,0.97,6.01,3.6,17.1,27.08319962083279,-0.011628037995119099,3.6,0.05836324329691494,0.035367143837291316,-0.022996099459623623,-3.2989135954526065,0.0569837397159163,0.3422672064538087,shiller,0.0569837397159163,0.3422672064538087,0.05836324329691494,-0.022996099459623623,-3.2989135954526065,0.048447565052170405,0.020315186580887636,0.04171187062756083,0.021396684046673192,-0.0063447267902695115,0.013970459790618124,-0.03447710526155228,20,0.5,0.01714282318575288,-0.031304741866417525,-0.025216874643512743,20.0,-0.06408439671508016
