year,P,D,R,RLONG,CPI,CAPE,pi,long_yield_pct,y_1_nom,y_10_nom_obs,spr_nom,cape,rtb,xr,long_yield_source,rtb_z,xr_z,y_1_nom_z,spr_nom_z,cape_z,y_1_real,y_10_real_EH,y_10_nom_EH,pi_10_VAR,term_prem_nom,y_10_real_obs_implied,spr_real_obs_implied,maturity_n,theta,y_10_real_theta,spr_theta,r_10_real_theta,duration_theta,xb_theta
1920,8.83,0.51,7.3,4.97,19.3,5.98966777113944,0.15674471500430492,5.75,0.07045846364856141,0.05590763193829599,-0.014550831710265423,-1.790035946672557,-0.10263538935727298,0.11968339479940221,aaa,-0.10263538935727298,0.11968339479940221,0.07045846364856141,-0.014550831710265423,-1.790035946672557,-0.015026848942409143,0.03091798214074847,0.0678404813007277,0.036922499159979236,-0.011932849362431712,0.018985132778316757,0.0340119817207259,10,1.0,0.018985132778316757,0.0340119817207259,-0.012968430009184434,10.0,0.01458561127385272
1921,7.11,0.46,7.44,5.09,19.0,5.122184146887376,-0.015666116744399463,6.14,0.07176236622689078,0.059588791411657537,-0.012173574815233242,-1.6335809392762046,0.08612458039296088,-0.22442041081507264,aaa,0.08612458039296088,-0.22442041081507264,0.07176236622689078,-0.012173574815233242,-1.6335809392762046,0.08272702809919971,0.040437340345556884,0.05858956020216958,0.018152219856612695,0.000999231209487958,0.04143657155504484,-0.04129045654415487,10,1.0,0.04143657155504484,-0.04129045654415487,-0.18307781621223598,10.0,-0.16805096726982685
1922,7.3,0.51,4.58,4.3,16.9,6.287087290347126,-0.11712535723741281,5.34,0.044782142771893185,0.05202302806715191,0.007240885295258723,-1.8384978935652554,0.1888877234643036,0.0221403538095543,aaa,0.1888877234643036,0.0221403538095543,0.044782142771893185,0.007240885295258723,-1.8384978935652554,0.10050648959287177,0.03293387319133728,0.04183776185313325,0.008903888661795971,0.010185266214018655,0.04311913940535594,-0.05738735018751583,10,1.0,0.04311913940535594,-0.05738735018751583,0.02629346090224499,10.0,-0.05643356719695472
1923,8.9,0.53,4.96,4.36,16.8,8.15420048306915,-0.005934735519814466,5.04,0.048409139207687545,0.04917104400644938,0.0007619047987618352,-2.0985331911771135,0.05071687829170765,0.21123960571912748,aaa,0.05071687829170765,0.21123960571912748,0.048409139207687545,0.0007619047987618352,-2.0985331911771135,0.03506920949400416,0.027040870630313886,0.04885643915284037,0.02181556852252648,0.0003146048536090129,0.0273554754839229,-0.007713734010081262,10,1.0,0.0273554754839229,-0.007713734010081262,0.1849921146982533,10.0,0.08448562510538153
1924,8.83,0.55,4.34,4.06,17.3,8.072249446037373,0.02932761509451992,5.09,0.0424846116061553,0.04964693988941377,0.007162328283258475,-2.088432185204824,0.019081524113167624,0.004119347072351648,aaa,0.019081524113167624,0.004119347072351648,0.0424846116061553,0.007162328283258475,-2.088432185204824,0.023289657027454832,0.02145457040421128,0.0451157637898076,0.023661193385596316,0.004531176099606175,0.025985746503817457,0.002696089476362625,10,1.0,0.025985746503817457,0.002696089476362625,0.039683036304871855,10.0,0.004613826810867694
1925,10.58,0.6,3.87,3.86,17.3,9.692618852254993,0.0,4.95,0.03796993125162867,0.048313860278550634,0.010343929026921966,-2.2713646527787117,0.0424846116061553,0.19348684150492915,aaa,0.0424846116061553,0.19348684150492915,0.03796993125162867,0.010343929026921966,-2.2713646527787117,0.023190888018123197,0.02009106554039705,0.04285291983711713,0.022761854296720077,0.005460940441433505,0.025552005981830557,0.00236111796370736,10,1.0,0.025552005981830557,0.00236111796370736,0.02988941120169958,10.0,0.0065997541742447464
1926,12.65,0.69,4.28,3.68,17.9,11.340966188506227,0.034094211342975925,4.82,0.04190940307720962,0.04707440738592883,0.005165004308719211,-2.4284214964784474,0.003875719908652743,0.1938316828056957,aaa,0.003875719908652743,0.1938316828056957,0.04190940307720962,0.005165004308719211,-2.4284214964784474,0.009493614603117026,0.019204697206528544,0.04478364143885433,0.025578944232325783,0.0022907659470745023,0.021495463153603046,0.01200184855048602,10,1.0,0.021495463153603046,0.01200184855048602,0.062060891435878146,10.0,0.03887000341775495
1927,13.4,0.77,4.26,3.34,17.5,13.185930628677793,-0.02259983191724092,4.66,0.0417175933518685,0.04554681495597039,0.003829221604101894,-2.579150399694241,0.06450923499445053,0.07156043545185017,aaa,0.06450923499445053,0.07156043545185017,0.0417175933518685,0.003829221604101894,-2.579150399694241,0.04194314369865566,0.02096667995786834,0.03927294985569931,0.018306269897830973,0.00627386510027108,0.02724054505813942,-0.014702598640516245,10,1.0,0.02724054505813942,-0.014702598640516245,-0.030210273987224312,10.0,-0.03970388859034134
1928,17.53,0.85,4.64,3.33,17.3,18.806128571700775,-0.011494379425735021,4.46,0.0453557017207972,0.04363403702006131,-0.0017216647007358907,-2.934182804569831,0.05321197277760352,0.27429081661880694,aaa,0.05321197277760352,0.27429081661880694,0.0453557017207972,-0.0017216647007358907,-2.934182804569831,0.03263782087943064,0.020908737476024418,0.040917281345131756,0.02000854386910734,0.002716755674929551,0.02362549315095397,-0.009012327728476668,10,1.0,0.02362549315095397,-0.009012327728476668,0.05977601222280848,10.0,0.01783286852415282
1929,24.86,0.97,6.01,3.6,17.1,27.08319962083279,-0.011628037995119099,4.62,0.05836324329691494,0.04516455195437364,-0.0131986913425413,-3.2989135954526065,0.0569837397159163,0.3422672064538087,aaa,0.0569837397159163,0.3422672064538087,0.05836324329691494,-0.0131986913425413,-3.2989135954526065,0.041347826244286845,0.02516822905653166,0.04537977027181426,0.020211541215282597,-0.0002152183174406186,0.024953010739091043,-0.016394815505195802,10,1.0,0.024953010739091043,-0.016394815505195802,0.01167783485772031,10.0,-0.020959986021710328
