year,rtb,xr,cape,y_1_nom,spr_nom,y_10_nom_obs,y_1_real,y_10_real_EH,y_10_nom_EH,pi_10_VAR,term_prem_nom,y_10_real_obs_implied,spr_real_obs_implied,long_yield_pct,maturity_n,long_yield_source
1920,-0.10263538935727298,0.11968339479940221,-1.790035946672557,0.07045846364856141,-0.014550831710265423,0.05590763193829599,-0.015026848942409143,0.03091798214074847,0.0678404813007277,0.036922499159979236,-0.011932849362431712,0.018985132778316757,0.0340119817207259,5.75,10,aaa
1921,0.08612458039296088,-0.22442041081507264,-1.6335809392762046,0.07176236622689078,-0.012173574815233242,0.059588791411657537,0.08272702809919971,0.040437340345556884,0.05858956020216958,0.018152219856612695,0.000999231209487958,0.04143657155504484,-0.04129045654415487,6.14,10,aaa
1922,0.1888877234643036,0.0221403538095543,-1.8384978935652554,0.044782142771893185,0.007240885295258723,0.05202302806715191,0.10050648959287177,0.03293387319133728,0.04183776185313325,0.008903888661795971,0.010185266214018655,0.04311913940535594,-0.05738735018751583,5.34,10,aaa
1923,0.05071687829170765,0.21123960571912748,-2.0985331911771135,0.048409139207687545,0.0007619047987618352,0.04917104400644938,0.03506920949400416,0.027040870630313886,0.04885643915284037,0.02181556852252648,0.0003146048536090129,0.0273554754839229,-0.007713734010081262,5.04,10,aaa
1924,0.019081524113167624,0.004119347072351648,-2.088432185204824,0.0424846116061553,0.007162328283258475,0.04964693988941377,0.023289657027454832,0.02145457040421128,0.0451157637898076,0.023661193385596316,0.004531176099606175,0.025985746503817457,0.002696089476362625,5.09,10,aaa
1925,0.0424846116061553,0.19348684150492915,-2.2713646527787117,0.03796993125162867,0.010343929026921966,0.048313860278550634,0.023190888018123197,0.02009106554039705,0.04285291983711713,0.022761854296720077,0.005460940441433505,0.025552005981830557,0.00236111796370736,4.95,10,aaa
1926,0.003875719908652743,0.1938316828056957,-2.4284214964784474,0.04190940307720962,0.005165004308719211,0.04707440738592883,0.009493614603117026,0.019204697206528544,0.04478364143885433,0.025578944232325783,0.0022907659470745023,0.021495463153603046,0.01200184855048602,4.82,10,aaa
1927,0.06450923499445053,0.07156043545185017,-2.579150399694241,0.0417175933518685,0.003829221604101894,0.04554681495597039,0.04194314369865566,0.02096667995786834,0.03927294985569931,0.018306269897830973,0.00627386510027108,0.02724054505813942,-0.014702598640516245,4.66,10,aaa
1928,0.05321197277760352,0.27429081661880694,-2.934182804569831,0.0453557017207972,-0.0017216647007358907,0.04363403702006131,0.03263782087943064,0.020908737476024418,0.040917281345131756,0.02000854386910734,0.002716755674929551,0.02362549315095397,-0.009012327728476668,4.46,10,aaa
1929,0.0569837397159163,0.3422672064538087,-3.2989135954526065,0.05836324329691494,-0.0131986913425413,0.04516455195437364,0.041347826244286845,0.02516822905653166,0.04537977027181426,0.020211541215282597,-0.0002152183174406186,0.024953010739091043,-0.016394815505195802,4.62,10,aaa
1930,0.05836324329691494,-0.14969903058772954,-3.1050674729258394,0.040661981718889635,0.004884833237080756,0.04554681495597039,0.04560656230177644,0.015395064888621482,0.03271125315692934,0.01731618826830786,0.012835561799041051,0.028230626687662533,-0.017375935614113908,4.66,10,aaa
1931,0.11342133600131807,-0.2970560791998768,-2.815736733377592,0.02400945246035187,0.019241589533963065,0.04325104199431493,0.06365593593823166,0.011606224140581848,0.02251133214078852,0.010905108000206673,0.02073970985352641,0.03234593399410826,-0.031310001944123395,4.42,10,aaa
1932,0.13006902442067608,-0.6205956713143197,-2.2313475385736523,0.033047854046200344,0.01764526026931778,0.05069311431551812,0.0881948444032608,0.018555646104734973,0.027950208093181394,0.009394561988446421,0.02274290622233673,0.041298552327071705,-0.04689629207618909,5.2,10,aaa
1933,0.13608007994443552,-0.13040832703695046,-2.166541537565079,0.014494446150452565,0.028948111692384166,0.04344255784283673,0.06058639170343254,0.013228126607423868,0.023865911161473085,0.010637784554049217,0.019576646681363646,0.03280477328878752,-0.02778161841464502,4.44,10,aaa
1934,-0.008495072074245998,0.42380598172104117,-2.56687978746908,0.01004933585300144,0.03253111168211695,0.04258044753511839,-0.029942387175854495,0.0030038088871124384,0.0316037269192759,0.028599918032163458,0.01097672061584249,0.01398052950295493,0.043922916678809425,4.35,10,aaa
1935,-0.01980362729667969,-0.09001298276830394,-2.4419911431950623,0.007472014838700995,0.029534710790394672,0.03700672562909567,-0.014373259325001927,0.0008760955955578291,0.023886096991036224,0.023010001395478395,0.013120628638059444,0.013996724233617273,0.0283699835586192,3.77,10,aaa
1936,-0.0071267845824518564,0.43959232346078136,-2.8383389998802047,0.007472014838700995,0.025672583753601028,0.033144598592302024,-0.027355026596271138,0.0016465353724117397,0.02613889478632637,0.02449235941391463,0.007005703805975653,0.008652239178387392,0.03600726577465853,3.37,10,aaa
1937,-0.014034190382262468,0.2825691912723312,-3.0735606043631565,0.008761505668572752,0.02176769936625012,0.03052920503482287,-0.02240360050807128,9.165172136745264e-05,0.02273280246372115,0.022641150742353698,0.007796402571101719,0.007888054292469172,0.03029165480054045,3.1,10,aaa
1938,0.0016943384454803992,-0.40629905244008735,-2.6035383562260628,0.008761505668572752,0.02244642145562041,0.031207927124193163,0.011408119058025998,0.0012658534158961426,0.016992099317046948,0.015726245901150807,0.014215827807146215,0.015481681223042358,0.004073562165016359,3.17,10,aaa
1939,0.022946140660529163,0.13968898771934105,-2.7472474787834007,0.005584378293900615,0.024071506613610044,0.029655884907510657,-0.0018479437087551252,0.002299624842486008,0.020032139799069572,0.017732514956583564,0.009623745108441085,0.011923369950927094,0.013771313659682219,3.01,10,aaa
1940,0.012752867772513131,0.03132597572619654,-2.7959682989448296,0.005584378293900615,0.02280869620731727,0.028393074501217887,-0.001728016472303348,0.0011994303103169098,0.018428224139646777,0.017228793829329868,0.00996485036157111,0.01116428067188802,0.012892297144191368,2.88,10,aaa
1941,-0.008701578953575819,-0.09392701796072803,-2.6321879513661073,0.005286004429237356,0.021842662959015262,0.02712866738825262,-0.005889756393232935,0.0008129714231445478,0.018394387720411354,0.017581416297266807,0.008734279667841266,0.009547251090985814,0.01543700748421875,2.75,10,aaa
1942,-0.10219991054090237,-0.10801701554803904,-2.3127023833670393,0.006280237957150484,0.021626715295857392,0.027906953253007877,-0.04657290957355195,-0.0014742237960377004,0.02486830944459143,0.026342533240629133,0.0030386438084164455,0.0015644200123787451,0.0481373295859307,2.83,10,aaa
1943,-0.06737267161761493,0.17454710862230233,-2.3175263366576364,0.0068763039394321565,0.020641582097307088,0.027517886036739245,-0.040830435248034036,0.001879136830670931,0.027072154549399235,0.025193017718728304,0.0004457314873400099,0.002324868318010941,0.043155303566044974,2.79,10,aaa
