theta,max_abs_state_eig,min_eig_Omega,cond_Omega,max_abs_resid_corr,r2_cape,r2_spr,r2_y_1,r2_xr,r2_xb,sigma_r_cond_xr,sigma_r_cond_xb,M_xb_cape,M_xb_spr,M_xb_y_1
0.0,0.9009610843746086,1.1088396401592162e-07,619543.1684966702,0.9815190014569933,0.80494844401173,0.49196424547517614,0.6038944455883941,0.11298542313983906,0.005494468654589246,0.03663130184280267,0.007183420950642633,0.0005166930658784448,-14.889240037855298,-14.935304219155435
0.25,0.930708052219654,1.1678967395019507e-07,601235.675036236,0.9868281269495501,0.8005445179991483,0.38644041418057395,0.544321272280639,0.09850173343039936,0.008713138651244567,0.039484388463834175,0.006847160640176087,0.0005191190100905016,-13.911478489200194,-14.017893395357818
0.5,0.9591766549537007,1.9385169298378112e-07,366073.1076749657,0.9860032900219922,0.7994275053153036,0.3384690435811737,0.5079300386609591,0.09265548559839942,0.021139685650160556,0.04100607036828597,0.008156765703753899,-0.0021513330831565204,-12.742596182915346,-12.959545077696594
0.75,0.9622691774809503,3.7100438298490645e-07,192615.5689609837,0.9797675613113471,0.7994515485535618,0.33932281928798447,0.49026242963990296,0.09089765568724562,0.04665047602460881,0.042558496316056856,0.010584295267701733,-0.006692649513998501,-11.797813460777187,-12.137485534991354
1.0,0.956582217324802,6.9984883668717e-07,102819.69931509839,0.9682443102100287,0.7997380523451538,0.37144636809660925,0.4813813233931944,0.09053756931488632,0.07421391973038738,0.04352289776339768,0.01392045118290895,-0.010842113846086864,-11.164523832586186,-11.616656895388159
