equation,coefficient,value
rtb,const,0.0104941282105026
rtb,z_bar,0.016412330733111654
rtb,lag_rtb,0.45209713967505205
rtb,lag_xr,-0.03795544664948994
rtb,lag_y_1_nom,0.2949766976407141
rtb,lag_spr_nom,-0.5642113861227065
rtb,lag_cape,0.0019946662813838845
xr,const,0.41144331301198833
xr,z_bar,0.051844273599295214
xr,lag_rtb,0.1506206225110363
xr,lag_xr,0.15210927253930762
xr,lag_y_1_nom,-0.6308531498985128
xr,lag_spr_nom,2.8431279622059584
xr,lag_cape,0.13854185269438515
y_1_nom,const,0.004522123326588967
y_1_nom,z_bar,0.04402987766457669
y_1_nom,lag_rtb,-0.03662662615015485
y_1_nom,lag_xr,0.021494976425201068
y_1_nom,lag_y_1_nom,0.9425118346037837
y_1_nom,lag_spr_nom,0.1187327686919597
y_1_nom,lag_cape,0.0014645259510726756
spr_nom,const,-0.00453074155112073
spr_nom,z_bar,0.012551046515392036
spr_nom,lag_rtb,0.013618706167509374
spr_nom,lag_xr,-0.018789163524908885
spr_nom,lag_y_1_nom,0.02433657397211996
spr_nom,lag_spr_nom,0.6496666746818784
spr_nom,lag_cape,-0.003155649070645598
cape,const,-0.3575801534135752
cape,z_bar,-2.727442332889472
cape,lag_rtb,-0.7351037292620722
cape,lag_xr,-0.1137697312264019
cape,lag_y_1_nom,0.029481715334877343
cape,lag_spr_nom,-3.2701929732737494
cape,lag_cape,0.847736653930733
