year,P,D,R,RLONG,CPI,CAPE,pi,y_1_nom,y_10_nom_obs,spr_nom,cape,rtb,xr,rtb_z,xr_z,y_1_nom_z,spr_nom_z,cape_z,y_1_real,y_10_real_EH,y_10_nom_EH,pi_10_VAR,term_prem_nom,y_10_real_obs_implied,spr_real_obs_implied,theta,y_10_real_theta,spr_theta,r_10_real_theta,duration_theta,xb_theta
1920,8.83,0.51,7.3,4.97,19.3,5.98966777113944,0.15674471500430492,0.07045846364856141,0.04850440905961498,-0.021954054588946434,-1.790035946672557,-0.10263538935727298,0.11968339479940221,-0.10263538935727298,0.11968339479940221,0.07045846364856141,-0.021954054588946434,-1.790035946672557,-0.006524094738060621,0.03218410248118451,0.06644712912626338,0.034263026645078874,-0.017942720066648404,0.014241382414536104,0.020765477152596724,1.0,0.014241382414536104,0.020765477152596724,-0.02874571262185399,9.38709007826315,-0.007955751497763616
1921,7.11,0.46,7.44,5.09,19.0,5.122184146887376,-0.015666116744399463,0.07176236622689078,0.04964693988941377,-0.022115426337477005,-1.6335809392762046,0.08612458039296088,-0.22442041081507264,0.08612458039296088,-0.22442041081507264,0.07176236622689078,-0.022115426337477005,-1.6335809392762046,0.08902727604784712,0.04175992589495007,0.05756833444531838,0.01580840855036831,-0.007921394555904605,0.03383853133904546,-0.055188744708801654,1.0,0.03383853133904546,-0.055188744708801654,-0.1501216708924617,8.628153106978132,-0.14359757615440108
1922,7.3,0.51,4.58,4.3,16.9,6.287087290347126,-0.11712535723741281,0.044782142771893185,0.042101176018635396,-0.0026809667532577894,-1.8384978935652554,0.1888877234643036,0.0221403538095543,0.1888877234643036,0.0221403538095543,0.044782142771893185,-0.0026809667532577894,-1.8384978935652554,0.10275630225882547,0.033776080600075364,0.04157299611530425,0.007796915515228889,0.0005281799033311427,0.03430426050340651,-0.06845204175541897,1.0,0.03430426050340651,-0.06845204175541897,0.030285877966914454,8.611214356354632,-0.058741398080932664
1923,8.9,0.53,4.96,4.36,16.8,8.15420048306915,-0.005934735519814466,0.048409139207687545,0.04267627428043632,-0.005732864927251224,-2.0985331911771135,0.05071687829170765,0.21123960571912748,0.05071687829170765,0.21123960571912748,0.048409139207687545,-0.005732864927251224,-2.0985331911771135,0.038084161254993254,0.0275929239157583,0.048734076296289584,0.021141152380531283,-0.006057802015853264,0.021535121899905037,-0.016549039355088217,1.0,0.021535121899905037,-0.016549039355088217,0.131492911560659,9.093767732782943,0.02873660930183354
1924,8.83,0.55,4.34,4.06,17.3,8.072249446037373,0.02932761509451992,0.0424846116061553,0.039797469874066085,-0.0026871417320892127,-2.088432185204824,0.019081524113167624,0.004119347072351648,0.019081524113167624,0.004119347072351648,0.0424846116061553,-0.0026871417320892127,-2.088432185204824,0.027380084810166634,0.022339907829213662,0.04435606158306994,0.02201615375385628,-0.004558591709003856,0.017781316120209806,-0.009598768689956828,1.0,0.017781316120209806,-0.009598768689956828,0.05191755399473641,9.243060430790159,0.013833392739743156
1925,10.58,0.6,3.87,3.86,17.3,9.692618852254993,0.0,0.03796993125162867,0.037873652428081515,-9.627882354715234e-05,-2.2713646527787117,0.0424846116061553,0.19348684150492915,0.0424846116061553,0.19348684150492915,0.03796993125162867,-9.627882354715234e-05,-2.2713646527787117,0.027368639353561236,0.021211214639390803,0.04189020404882407,0.020678989409433267,-0.004016551620742555,0.01719466301864825,-0.010173976334912987,1.0,0.01719466301864825,-0.010173976334912987,0.02261713308829219,9.266709820130586,-0.0047629517218744435
1926,12.65,0.69,4.28,3.68,17.9,11.340966188506227,0.034094211342975925,0.04190940307720962,0.036139046615873194,-0.005770356461336425,-2.4284214964784474,0.003875719908652743,0.1938316828056957,0.003875719908652743,0.1938316828056957,0.04190940307720962,-0.005770356461336425,-2.4284214964784474,0.015402724328212037,0.020716842488757832,0.043406487867067564,0.022689645378309732,-0.00726744125119437,0.013449401237563462,-0.0019533230906485753,1.0,0.013449401237563462,-0.0019533230906485753,0.04815565536330163,9.419752649531999,0.020787016009740394
1927,13.4,0.77,4.26,3.34,17.5,13.185930628677793,-0.02259983191724092,0.0417175933518685,0.03285433687094718,-0.008863256480921317,-2.579150399694241,0.06450923499445053,0.07156043545185017,0.06450923499445053,0.07156043545185017,0.0417175933518685,-0.008863256480921317,-2.579150399694241,0.04809988620698234,0.022872915061271263,0.037735696240357865,0.014862781179086602,-0.004881359369410684,0.01799155569186058,-0.030108330515121764,1.0,0.01799155569186058,-0.030108330515121764,-0.024794415763588262,9.234606241390589,-0.040197140091800296
1928,17.53,0.85,4.64,3.33,17.3,18.806128571700775,-0.011494379425735021,0.0453557017207972,0.032757564238172186,-0.012598137482625012,-2.934182804569831,0.05321197277760352,0.27429081661880694,0.05321197277760352,0.27429081661880694,0.0453557017207972,-0.012598137482625012,-2.934182804569831,0.03886752207156742,0.022865985890695283,0.03950112010217242,0.016635134211477134,-0.006743555864000231,0.016122430026695053,-0.022745092044872368,1.0,0.016122430026695053,-0.022745092044872368,0.03338306956017595,9.310158780591843,-0.014716816646806394
1929,24.86,0.97,6.01,3.6,17.1,27.08319962083279,-0.011628037995119099,0.05836324329691494,0.035367143837291316,-0.022996099459623623,-3.2989135954526065,0.0569837397159163,0.3422672064538087,0.0569837397159163,0.3422672064538087,0.05836324329691494,-0.022996099459623623,-3.2989135954526065,0.048447565052170405,0.02741335668890421,0.043874067273137266,0.016460710584233054,-0.00850692343584595,0.018906433253058262,-0.029541131799112143,1.0,0.018906433253058262,-0.029541131799112143,-0.007013078830063191,9.197945965621102,-0.04588060090163061
