year,rtb,xr,cape,y_1_nom,spr_nom,y_10_nom_obs,y_1_real,y_10_real_EH,y_10_nom_EH,pi_10_VAR,term_prem_nom,y_10_real_obs_implied,spr_real_obs_implied,long_yield_pct,maturity_n,long_yield_source
1920,-0.10263538935727298,0.11968339479940221,-1.790035946672557,0.07045846364856141,-0.021954054588946434,0.04850440905961498,-0.006524094738060621,0.03218410248118451,0.06644712912626338,0.034263026645078874,-0.017942720066648404,0.014241382414536104,0.020765477152596724,4.97,10,shiller
1921,0.08612458039296088,-0.22442041081507264,-1.6335809392762046,0.07176236622689078,-0.022115426337477005,0.04964693988941377,0.08902727604784712,0.04175992589495007,0.05756833444531838,0.01580840855036831,-0.007921394555904605,0.03383853133904546,-0.055188744708801654,5.09,10,shiller
1922,0.1888877234643036,0.0221403538095543,-1.8384978935652554,0.044782142771893185,-0.0026809667532577894,0.042101176018635396,0.10275630225882547,0.033776080600075364,0.04157299611530425,0.007796915515228889,0.0005281799033311427,0.03430426050340651,-0.06845204175541897,4.3,10,shiller
1923,0.05071687829170765,0.21123960571912748,-2.0985331911771135,0.048409139207687545,-0.005732864927251224,0.04267627428043632,0.038084161254993254,0.0275929239157583,0.048734076296289584,0.021141152380531283,-0.006057802015853264,0.021535121899905037,-0.016549039355088217,4.36,10,shiller
1924,0.019081524113167624,0.004119347072351648,-2.088432185204824,0.0424846116061553,-0.0026871417320892127,0.039797469874066085,0.027380084810166634,0.022339907829213662,0.04435606158306994,0.02201615375385628,-0.004558591709003856,0.017781316120209806,-0.009598768689956828,4.06,10,shiller
1925,0.0424846116061553,0.19348684150492915,-2.2713646527787117,0.03796993125162867,-9.627882354715234e-05,0.037873652428081515,0.027368639353561236,0.021211214639390803,0.04189020404882407,0.020678989409433267,-0.004016551620742555,0.01719466301864825,-0.010173976334912987,3.86,10,shiller
1926,0.003875719908652743,0.1938316828056957,-2.4284214964784474,0.04190940307720962,-0.005770356461336425,0.036139046615873194,0.015402724328212037,0.020716842488757832,0.043406487867067564,0.022689645378309732,-0.00726744125119437,0.013449401237563462,-0.0019533230906485753,3.68,10,shiller
1927,0.06450923499445053,0.07156043545185017,-2.579150399694241,0.0417175933518685,-0.008863256480921317,0.03285433687094718,0.04809988620698234,0.022872915061271263,0.037735696240357865,0.014862781179086602,-0.004881359369410684,0.01799155569186058,-0.030108330515121764,3.34,10,shiller
1928,0.05321197277760352,0.27429081661880694,-2.934182804569831,0.0453557017207972,-0.012598137482625012,0.032757564238172186,0.03886752207156742,0.022865985890695283,0.03950112010217242,0.016635134211477134,-0.006743555864000231,0.016122430026695053,-0.022745092044872368,3.33,10,shiller
1929,0.0569837397159163,0.3422672064538087,-3.2989135954526065,0.05836324329691494,-0.022996099459623623,0.035367143837291316,0.048447565052170405,0.02741335668890421,0.043874067273137266,0.016460710584233054,-0.00850692343584595,0.018906433253058262,-0.029541131799112143,3.6,10,shiller
