year,cape,spr,y_1,xr,xb
1920,-1.790035946672557,0.03422251720258303,-0.006524094738060621,0.11968339479940221,-0.0262104138719999
1921,-1.6335809392762046,-0.0492476987918732,0.08902727604784712,-0.22442041081507264,-0.07450787592048055
1922,-1.8384978935652554,-0.06884817668291732,0.10275630225882547,0.0221403538095543,0.0035953663287186938
1923,-2.0985331911771135,-0.01200568784319827,0.038084161254993254,0.21123960571912748,0.0016186927941012202
1924,-2.088432185204824,-0.006179824908203936,0.027380084810166634,0.004119347072351648,0.0318982337452923
1925,-2.2713646527787117,-0.00716156261935607,0.027368639353561236,0.19348684150492915,0.0027588236016138565
1926,-2.4284214964784474,0.0034972578477472024,0.015402724328212037,0.1938316828056957,0.004602288404857269
1927,-2.579150399694241,-0.02644731098806375,0.04809988620698234,0.07156043545185017,-0.021276079538886956
1928,-2.934182804569831,-0.017687425146872195,0.03886752207156742,0.27429081661880694,-0.02219500634005346
1929,-3.2989135954526065,-0.02316093922222768,0.048447565052170405,0.3422672064538087,-0.05464618529409972
1930,-3.1050674729258394,-0.03288765552551087,0.050269881457040144,-0.14969903058772954,0.04797865986349342
1931,-2.815736733377592,-0.04818767596478592,0.06256177699817776,-0.2970560791998768,-0.005814531442274062
1932,-2.2313475385736523,-0.06818973365395745,0.08983416505326433,-0.6205956713143197,-0.11362064925802119
1933,-2.166541537565079,-0.04398911355636219,0.05944289821868817,-0.13040832703695046,-0.012473913021129435
1934,-2.56687978746908,0.03138207466235327,-0.027480913540291422,0.42380598172104117,0.05998449830601507
1935,-2.4419911431950623,0.016308437943891096,-0.014634668458287294,-0.09001298276830394,0.05142859939047568
1936,-2.8383389998802047,0.02910826484791627,-0.02739174897124062,0.43959232346078136,0.015923720424244475
1937,-3.0735606043631565,0.02500075159672717,-0.02483506622564931,0.2825691912723312,0.043065739398296374
1938,-2.6035383562260628,-0.00607231166133919,0.008138741607146636,-0.40629905244008735,0.007894050424160897
1939,-2.7472474787834007,0.006017783789480544,-0.0033498017146099367,0.13968898771934105,-0.011486280822907646
1940,-2.7959682989448296,0.004738956810581378,-0.0031241735507826288,0.03132597572619654,0.015496573125127264
1941,-2.6321879513661073,0.006864293267273165,-0.005919573729218662,-0.09392701796072803,0.010769530306279595
1942,-2.3127023833670393,0.0453327392122986,-0.048342493043103923,-0.10801701554803904,0.04245455358701164
1943,-2.3175263366576364,0.04219791945665565,-0.04211923561773909,0.17454710862230233,0.017536800184801568
1944,-2.402648753810159,0.026076677802667293,-0.023489667316552058,0.20650718583253666,0.019622979631867623
1945,-2.481606496919498,0.02109549665201637,-0.018402528129261308,0.17021255276010616,0.02512305547290885
1946,-2.7487546320888896,0.024431635063284905,-0.022596085789639616,0.3207058313976317,0.02881226989400432
1947,-2.4396735809364274,0.062233312030185714,-0.06759736892578865,-0.12334466810048499,0.0892280905865189
1948,-2.343663949625155,0.04013259478768784,-0.03880962296954707,0.025472642305530036,0.002050053606492394
1949,-2.327110448479578,0.007037923729735605,0.0010906978901828925,0.09329853784677661,-0.02111825342831171
1950,-2.374508773438054,-0.0024822507595246655,0.011555376984837324,0.16218636739604553,-0.001462617718811848
1951,-2.476182020608157,0.03697995764361151,-0.031006668894483804,0.27959134237478034,0.025416286526139885
1952,-2.5278910844022335,0.01567697840002724,-0.0065026526614994536,0.16714117652373406,0.008170624739010774
1953,-2.5657777410259706,-0.002113107246502755,0.014195270305024613,0.10934394871475514,-0.010493557479919365
1954,-2.485127504975017,-0.0015963541225533784,0.010312119182779887,0.00536830954954421,0.0281844747381554
1955,-2.7720123726178567,0.007613195204976098,0.0010510141493960661,0.36243494115127484,-0.00113235276986429
1956,-2.906495807548065,0.0008518948319583674,0.012059490634683128,0.2359634454177444,-0.03061138980544789
1957,-2.8164728284191156,-0.0014993565542591788,0.01609287180267372,0.03562904301764726,-0.014287273203999067
1958,-2.6238299472877906,-0.0009705016037121067,0.010762646280962573,-0.09587405158950779,0.04171297858621751
1959,-2.889278902224295,0.009636070268180178,0.004856064927687075,0.3093376027803918,-0.043270416271263185
1960,-2.908990950698765,-0.004170329758222263,0.020643030254005774,0.038750741579881655,-0.008189017431066136
1961,-2.916170370376293,-0.002643957429771601,0.013587915543328208,0.02006249779428681,0.04558835168181986
1962,-3.0539036014461907,0.0017901177597492834,0.010469102778798593,0.14714121188703141,-0.014481319254693023
1963,-2.9579905142583103,-0.007241374693343532,0.020061703195216156,-0.05870412897846332,-0.003259853910173447
1964,-3.0739525306642927,0.0002626605468588148,0.014676261025574984,0.1591033929391133,-0.026308712328394095
1965,-3.147136402858789,-0.008299594428887638,0.025067323195687934,0.11011434311186985,-0.01619660420243965
1966,-3.1804876739970838,-0.010348445799744987,0.030396334922094703,0.06694969264830053,-0.037821037628832425
1967,-3.0171141495226452,-0.01554226942694624,0.03617038463600433,-0.11885435760933155,-0.015570480580120394
1968,-3.06858934455813,-0.004326834875224624,0.027124849933027793,0.09591506661525198,-0.03507136806565192
1969,-3.053763798450418,-0.012709240549226765,0.042970374031579404,0.041694047651884295,-0.07149490069616987
1970,-2.8385251756860104,-0.013847141985410483,0.04797069526249775,-0.16536225633684248,-0.04747101870183842
1971,-2.8010421773716354,-0.006814079552562292,0.02914962685884532,-0.020269981152347447,0.0922449117518277
1972,-2.848565297295101,0.005268992337897854,0.011981876657251327,0.07476470688818582,0.038948025247642314
1973,-2.929193377923576,-0.0032161309503018903,0.03308558046893098,0.11957842719583023,-0.1082982323734213
1974,-2.6049627957123613,-0.02074079175299824,0.06255125387939545,-0.24828433711209213,-0.11068524442021496
1975,-2.1884075444458397,-0.0013172248724434461,0.029439148315922287,-0.33623735856732917,0.10245605639326708
1976,-2.4145781870300875,0.025870204020080674,-0.0035084687553803076,0.25991609728988896,0.05052446873656283
1977,-2.436937766119304,0.017304183440404013,0.0029806636056694796,0.0578644803289018,0.04456219798772252
1978,-2.223700126480763,0.008971878823876595,0.020934533790704143,-0.13677593456352846,-0.06928990667616117
1979,-2.2254488237734904,0.00733080738869428,0.035236996490248265,0.07987753370477599,-0.1049806425553797
1980,-2.180523010593607,0.020330306735187452,0.022420792622221318,0.056885989892471525,0.005681148082498241
1981,-2.22563974106966,-0.0070195952823109,0.07471464476011926,0.1227350411270944,-0.2041652443484088
1982,-1.9999463887988085,-0.023145078258208635,0.08321330488712812,-0.2310069458986974,0.061621810357688864
1983,-2.1698286256527513,-0.016678982633207315,0.05943074717942527,0.118819248872679,0.13270308048610507
1984,-2.2920226875909178,0.00030086147459132406,0.044899512305052444,0.09734243605617517,-0.0387164657340396
1985,-2.3022851657934242,0.00044418446092774067,0.0345076325912719,-0.029454029352262948,0.09253787202158843
1986,-2.460870719376364,0.008643671037416267,0.021303743428214617,0.15203096730327553,0.04548380774004654
1987,-2.702850580053065,-0.003761311054046791,0.030369270093230386,0.2016404896739506,0.03869876987544188
1988,-2.6317691699238717,0.0026346716416066895,0.026223365746517624,-0.07693782422492908,-0.024012016194513278
1989,-2.713904527225895,-0.00018381199968109385,0.03610801956463884,0.09503772257398012,-0.0609608599498942
1990,-2.836082377785895,-0.004572431814465698,0.037556850419067006,0.12104015894603808,0.026274288643526808
1991,-2.747667638037535,0.0001480419826777983,0.025761279037794092,-0.08763406852760414,0.05910344644269905
1992,-2.9843208204602822,0.014542582921271899,-0.00046152266427609487,0.20794755698704082,0.10660238885396259
1993,-3.0117734631024304,0.02112116907648693,-0.011520077325412399,0.03513653197197707,0.05486229947456335
1994,-3.0639503409363216,0.010395701857565548,0.003787704391635432,0.07684161236215356,-0.020119661406651123
1995,-3.0066286628149888,0.006461882916480286,0.0157131825951508,-0.029870592923251275,-0.06152923150430541
1996,-3.2093290064565556,-0.0023027898369236133,0.02356695344993367,0.23955977049846525,0.014660000004069567
1997,-3.3440226193338787,0.005299605090192654,0.014200822744022523,0.18557241254890952,0.013570832172230297
1998,-3.4922551514112237,-0.00731094320859409,0.027281207637284446,0.18944287683043698,0.0010710757399160671
1999,-3.703200360596768,-0.009616225800274374,0.02739245681812564,0.21751832348346203,0.012435357488957719
2000,-3.7790075516143142,-0.0028317620932163355,0.02316465367275823,0.09203668449803024,-0.03262617085549006
2001,-3.6103466142689697,-0.010413779998791051,0.023889202807138788,-0.11747400040504727,0.05888545684753109
2002,-3.4103951004331607,0.00014445097274044718,0.002499262128937793,-0.18945526660102532,0.08707160736123441
2003,-3.13106479340144,0.011309251010123852,-0.012050371355683528,-0.24031092600769383,0.03060795199788169
2004,-3.319934553901899,0.027367607946614483,-0.02662116596275951,0.23972736995450217,-0.002078809954607977
2005,-3.280431803819315,0.0123377934727716,-0.0038348825012112196,0.04610666695155117,-0.04244061294273417
2006,-3.275963002067896,0.00011624485848950317,0.017175725531210946,0.06489721541902035,-0.06676374129048904
2007,-3.303494017892406,-0.011176476986671721,0.03043736575056382,0.07516560942939551,-0.017604020509235326
2008,-3.178983304954095,-0.004071555261802711,0.014737450192328985,-0.06403881203770355,0.06617846751362069
2009,-2.7196264000683232,-0.02195315855916475,0.02582029768348651,-0.473607522800403,0.05711724699403793
2010,-3.0217829782247834,0.03539651393817002,-0.037796343848809144,0.2708047296604516,0.034449562755483214
2011,-3.1345502675306607,0.027251396435041167,-0.03047665562335158,0.1482419870925305,0.04282537743721162
