year,cape,spr,y_1,xr,xb
1920,-1.790035946672557,0.03870819721924513,-0.006524094738060621,0.11968339479940221,-0.02326651243066413
1921,-1.6335809392762046,-0.04726735015289705,0.08902727604784712,-0.22442041081507264,-0.034917629700047276
1922,-1.8384978935652554,-0.0689802216587501,0.10275630225882547,0.0221403538095543,0.011386379781401848
1923,-2.0985331911771135,-0.010491237339234953,0.038084161254993254,0.21123960571912748,-0.021800088751355848
1924,-2.088432185204824,-0.005040176980952972,0.027380084810166634,0.004119347072351648,0.030797879115788435
1925,-2.2713646527787117,-0.006157424714170433,0.027368639353561236,0.19348684150492915,0.004059587547037551
1926,-2.4284214964784474,0.005314118160545795,0.015402724328212037,0.1938316828056957,-0.002149790650909894
1927,-2.579150399694241,-0.02522697114571108,0.04809988620698234,0.07156043545185017,-0.01220615863055859
1928,-2.934182804569831,-0.016001536180872137,0.03886752207156742,0.27429081661880694,-0.025171250908848322
1929,-3.2989135954526065,-0.021034208363266194,0.048447565052170405,0.3422672064538087,-0.0525699950518025
1930,-3.1050674729258394,-0.03313176529116236,0.050269881457040144,-0.14969903058772954,0.05979987102443404
1931,-2.815736733377592,-0.05069099463611583,0.06256177699817776,-0.2970560791998768,0.010423786024922957
1932,-2.2313475385736523,-0.0703910986273183,0.08983416505326433,-0.6205956713143197,-0.11494442326554828
1933,-2.166541537565079,-0.046094521167136415,0.05944289821868817,-0.13040832703695046,-0.02055762960969726
1934,-2.56687978746908,0.03133628825195564,-0.027480913540291422,0.42380598172104117,0.033873872842534486
1935,-2.4419911431950623,0.015452268118824775,-0.014634668458287294,-0.09001298276830394,0.05815561047030909
1936,-2.8383389998802047,0.029171060783762127,-0.02739174897124062,0.43959232346078136,0.006832150617212231
1937,-3.0735606043631565,0.024381497842811944,-0.02483506622564931,0.2825691912723312,0.0490892011155601
1938,-2.6035383562260628,-0.0077448247058946006,0.008138741607146636,-0.40629905244008735,0.016736807750823854
1939,-2.7472474787834007,0.005426180125808216,-0.0033498017146099367,0.13968898771934105,-0.022857191711879183
1940,-2.7959682989448296,0.004118677361119271,-0.0031241735507826288,0.03132597572619654,0.015062625797830074
1941,-2.6321879513661073,0.006789699362606092,-0.005919573729218662,-0.09392701796072803,0.005232532186357909
1942,-2.3127023833670393,0.04585075237508244,-0.048342493043103923,-0.10801701554803904,0.036915221966764125
1943,-2.3175263366576364,0.04321047449082059,-0.04211923561773909,0.17454710862230233,0.013198994155053372
1944,-2.402648753810159,0.02662959342727451,-0.023489667316552058,0.20650718583253666,0.02487254493018999
1945,-2.481606496919498,0.02157298441242212,-0.018402528129261308,0.17021255276010616,0.026359093111613493
1946,-2.7487546320888896,0.025188250467116435,-0.022596085789639616,0.3207058313976317,0.026695925842945802
1947,-2.4396735809364274,0.06377882083755425,-0.06759736892578865,-0.12334466810048499,0.08214297308950241
1948,-2.343663949625155,0.04161001185533167,-0.03880962296954707,0.025472642305530036,0.0030571469047746685
1949,-2.327110448479578,0.008372185667311382,0.0010906978901828925,0.09329853784677661,-0.01752024555442539
1950,-2.374508773438054,-0.0016560647365031437,0.011555376984837324,0.16218636739604553,0.004624725410508438
1951,-2.476182020608157,0.03929422370136495,-0.031006668894483804,0.27959134237478034,0.012153753574972065
1952,-2.5278910844022335,0.01727974928634006,-0.0065026526614994536,0.16714117652373406,0.017792901683067446
1953,-2.5657777410259706,-0.0011800084463995525,0.014195270305024613,0.10934394871475514,-0.0018144131047470417
1954,-2.485127504975017,-0.0009614802582205324,0.010312119182779887,0.00536830954954421,0.02974107633582153
1955,-2.7720123726178567,0.00843679860325,0.0010510141493960661,0.36243494115127484,-0.002139996793630642
1956,-2.906495807548065,0.002135020518536557,0.012059490634683128,0.2359634454177444,-0.031972997880472906
1957,-2.8164728284191156,-0.0008052021112166276,0.01609287180267372,0.03562904301764726,-0.007035506808889463
1958,-2.6238299472877906,-0.0010242978166081738,0.010762646280962573,-0.09587405158950779,0.045499372789964763
1959,-2.889278902224295,0.009809444924735554,0.004856064927687075,0.3093376027803918,-0.04327461966587445
1960,-2.908990950698765,-0.005556595378620481,0.020643030254005774,0.038750741579881655,0.006286443538703874
1961,-2.916170370376293,-0.003978991652036443,0.013587915543328208,0.02006249779428681,0.040193860269246366
1962,-3.0539036014461907,0.0006829047133793797,0.010469102778798593,0.14714121188703141,-0.01721936121214783
1963,-2.9579905142583103,-0.008203915090775865,0.020061703195216156,-0.05870412897846332,-0.005327116179752501
1964,-3.0739525306642927,-0.00025508835685352123,0.014676261025574984,0.1591033929391133,-0.029956503612955966
1965,-3.147136402858789,-0.00885295664551548,0.025067323195687934,0.11011434311186985,-0.015281511146872541
1966,-3.1804876739970838,-0.01075407330240015,0.030396334922094703,0.06694969264830053,-0.03732649934895937
1967,-3.0171141495226452,-0.01597476450782652,0.03617038463600433,-0.11885435760933155,-0.015274244197326065
1968,-3.06858934455813,-0.005223985254250135,0.027124849933027793,0.09591506661525198,-0.029866778935511512
1969,-3.053763798450418,-0.012730697696677187,0.042970374031579404,0.041694047651884295,-0.07259664375729882
1970,-2.8385251756860104,-0.015944095413314915,0.04797069526249775,-0.16536225633684248,-0.0265984734006423
1971,-2.8010421773716354,-0.009428090719221974,0.02914962685884532,-0.020269981152347447,0.07873744522423504
1972,-2.848565297295101,0.0024019021125496736,0.011981876657251327,0.07476470688818582,0.03415715151094415
1973,-2.929193377923576,-0.003555060727524772,0.03308558046893098,0.11957842719583023,-0.12454648727416436
1974,-2.6049627957123613,-0.019250900470161127,0.06255125387939545,-0.24828433711209213,-0.11078305127251034
1975,-2.1884075444458397,-0.0039006468150743663,0.029439148315922287,-0.33623735856732917,0.11029270730159821
1976,-2.4145781870300875,0.022538263803162317,-0.0035084687553803076,0.25991609728988896,0.04776772790792852
1977,-2.436937766119304,0.013830298356431256,0.0029806636056694796,0.0578644803289018,0.04071720477116795
