year,cape,spr,y_1,xr,xb
1920,-1.790035946672557,0.025251157169258825,-0.006524094738060621,0.11968339479940221,-0.015314475722796175
1921,-1.6335809392762046,-0.053208396069825505,0.08902727604784712,-0.22442041081507264,-0.12857520075215187
1922,-1.8384978935652554,-0.06858408673125174,0.10275630225882547,0.0221403538095543,-0.03838841601579447
1923,-2.0985331911771135,-0.015034588851124901,0.038084161254993254,0.21123960571912748,0.031519701382096546
1924,-2.088432185204824,-0.008459120762705864,0.027380084810166634,0.004119347072351648,0.02212288635654333
1925,-2.2713646527787117,-0.00916983842972735,0.027368639353561236,0.19348684150492915,-0.0019596526500639047
1926,-2.4284214964784474,-0.00013646277784998273,0.015402724328212037,0.1938316828056957,0.01722301593151912
1927,-2.579150399694241,-0.028887990672769093,0.04809988620698234,0.07156043545185017,-0.03564716863251076
1928,-2.934182804569831,-0.02105920307887231,0.03886752207156742,0.27429081661880694,-0.016255801799105837
1929,-3.2989135954526065,-0.027414400940150657,0.048447565052170405,0.3422672064538087,-0.05008280915279405
1930,-3.1050674729258394,-0.0323994359942079,0.050269881457040144,-0.14969903058772954,0.0010500669025368947
1931,-2.815736733377592,-0.043181038622126085,0.06256177699817776,-0.2970560791998768,-0.0459920722131828
1932,-2.2313475385736523,-0.06378700370723578,0.08983416505326433,-0.6205956713143197,-0.10317884535191797
1933,-2.166541537565079,-0.039778298334813736,0.05944289821868817,-0.13040832703695046,-0.006343950547848726
1934,-2.56687978746908,0.03147364748314853,-0.027480913540291422,0.42380598172104117,0.10126849513434222
1935,-2.4419911431950623,0.018020777594023738,-0.014634668458287294,-0.09001298276830394,0.03693327074723451
1936,-2.8383389998802047,0.02898267297622455,-0.02739174897124062,0.43959232346078136,0.03417744377079636
1937,-3.0735606043631565,0.026239259104557624,-0.02483506622564931,0.2825691912723312,0.030663253110905116
1938,-2.6035383562260628,-0.0027272855722283726,0.008138741607146636,-0.40629905244008735,-0.009826109299531937
1939,-2.7472474787834007,0.007200991116825199,-0.0033498017146099367,0.13968898771934105,0.011315114122098638
1940,-2.7959682989448296,0.005979515709505592,-0.0031241735507826288,0.03132597572619654,0.016163616308255895
1941,-2.6321879513661073,0.007013481076607312,-0.005919573729218662,-0.09392701796072803,0.021832429011514408
1942,-2.3127023833670393,0.044296712886730906,-0.048342493043103923,-0.10801701554803904,0.053270668610462306
1943,-2.3175263366576364,0.04017280938832578,-0.04211923561773909,0.17454710862230233,0.02540252754409357
1944,-2.402648753810159,0.02497084655345285,-0.023489667316552058,0.20650718583253666,0.00932436019149882
1945,-2.481606496919498,0.020140521131204868,-0.018402528129261308,0.17021255276010616,0.02265952266806796
1946,-2.7487546320888896,0.022918404255621843,-0.022596085789639616,0.3207058313976317,0.03288159195485686
1947,-2.4396735809364274,0.05914229441544865,-0.06759736892578865,-0.12334466810048499,0.10191494104252184
1948,-2.343663949625155,0.03717776065240018,-0.03880962296954707,0.025472642305530036,-0.0022666153232892977
1949,-2.327110448479578,0.004369399854584051,0.0010906978901828925,0.09329853784677661,-0.0266498799048243
1950,-2.374508773438054,-0.004134622805567712,0.011555376984837324,0.16218636739604553,-0.013276508055939966
1951,-2.476182020608157,0.032351425528104646,-0.031006668894483804,0.27959134237478034,0.05054935510527125
1952,-2.5278910844022335,0.01247143662740161,-0.0065026526614994536,0.16714117652373406,-0.009264820462427218
1953,-2.5657777410259706,-0.003979304846709161,0.014195270305024613,0.10934394871475514,-0.025753196804318045
1954,-2.485127504975017,-0.0028661018512190677,0.010312119182779887,0.00536830954954421,0.020950228294082537
1955,-2.7720123726178567,0.005965988408428293,0.0010510141493960661,0.36243494115127484,0.0009950311124090581
1956,-2.906495807548065,-0.001714356541198012,0.012059490634683128,0.2359634454177444,-0.023987195412518522
1957,-2.8164728284191156,-0.002887665440344281,0.01609287180267372,0.03562904301764726,-0.02745500696079693
1958,-2.6238299472877906,-0.0008629091779199759,0.010762646280962573,-0.09587405158950779,0.02686155789323729
1959,-2.889278902224295,0.009289320955069425,0.004856064927687075,0.3093376027803918,-0.03907374819534509
1960,-2.908990950698765,-0.00139779851742583,0.020643030254005774,0.038750741579881655,-0.03660929172934156
1961,-2.916170370376293,2.611101475808418e-05,0.013587915543328208,0.02006249779428681,0.04928304808901703
1962,-3.0539036014461907,0.004004543852489091,0.010469102778798593,0.14714121188703141,-0.007710469644054432
