stat,lambda_a,lambda_b,point_diff,boot_sd_diff,p05_diff,p50_diff,p95_diff,frac_diff_pos,n_paired
E_xb,1.0,0.0,0.0069755112950276995,0.0037025942590743614,-0.004374934520336779,0.0022296760075248,0.0074724375054083655,0.705,1000
E_xb,1.0,0.5,0.0033776193122409997,0.0019603618569299305,-0.00284021314110046,0.0007159915856203001,0.00349793537607646,0.639,1000
E_xb,0.5,0.0,0.0035978919827867,0.0017674258698633606,-0.001622462533740145,0.00144660068283865,0.004047452969956034,0.782,1000
sd_xb,1.0,0.0,0.004684414067545994,0.026108830234805497,0.015404787782549927,0.05760207989446539,0.10035405793564592,0.989,1000
sd_xb,1.0,0.5,0.005773475439061697,0.013412788679585052,0.010797449116950386,0.03191244505103919,0.05398616081251121,0.992,1000
sd_xb,0.5,0.0,-0.0010890613715157024,0.012943683757957838,0.0049982743131065325,0.02580016317295005,0.04752158269828942,0.986,1000
Sharpe_xb,1.0,0.0,0.11238540211621591,0.027233420694200903,0.017080857043515116,0.05920144888772991,0.10716143449876281,0.989,1000
Sharpe_xb,1.0,0.5,0.051061826705091504,0.010034959245699545,0.009023323572460225,0.021279854525277146,0.04014630780724964,0.996,1000
Sharpe_xb,0.5,0.0,0.061323575411124404,0.0183615689877358,0.0077885326510560545,0.0376399602678517,0.06938409286955084,0.983,1000
Phi_xb_spr,1.0,0.0,1.5015789611486756,1.021628666565418,1.3959650491762974,2.5554517951431697,4.662225795854581,1.0,1000
Phi_xb_spr,1.0,0.5,0.3916876450435085,0.2588186660442591,-0.21722224641676557,0.20461138175813254,0.5549020430507697,0.846,1000
Phi_xb_spr,0.5,0.0,1.1098913161051671,1.156050017237443,1.0824047447785299,2.2977614906884414,4.7501586423270865,1.0,1000
Phi_xb_y1,1.0,0.0,0.3886315341622052,0.6794855710028249,0.8287526714295662,1.6752847508332713,2.9352418679190215,1.0,1000
Phi_xb_y1,1.0,0.5,-0.03355163109976683,0.29368414877298926,-0.5886836534371918,0.017217377438919268,0.34676543764657725,0.537,1000
Phi_xb_y1,0.5,0.0,0.422183165261972,0.7784090122870247,0.7781112393865954,1.6669220796641804,3.220652711231611,1.0,1000
corr_vy10_vxb,1.0,0.0,0.0022666028948935546,0.012639736845315122,-0.027436637534485137,-0.0009616544285026007,0.01047765477941252,0.444,1000
corr_vy10_vxb,1.0,0.5,0.0027852711367359895,0.002713678461587652,0.0011624725629135802,0.004595501981052796,0.010018841867869183,0.993,1000
corr_vy10_vxb,0.5,0.0,-0.0005186682418424349,0.012256482279595131,-0.031811010747351286,-0.004789313083659652,0.0024555847723799363,0.174,1000
