stat,lambda_val,point_estimate,boot_mean,boot_sd,p05,p50,p95,n_used,n_explosive_excluded
E_spr,0.0,-8.89445267303498e-05,-9.455182361414824e-08,0.00022316431013017675,-0.000342554790423665,9.419620829999482e-06,0.0003386155112815099,1000,0
sd_spr,0.0,0.0147806581727632,0.01955309052114635,0.0027698677410304493,0.015302767188422274,0.01941222374035425,0.02434934862939836,1000,0
E_xb,0.0,-0.0005291296817918,-0.0010514273261440087,0.0013412038408547229,-0.00349012809704882,-0.00088190388362515,0.0008207633454834134,1000,0
sd_xb,0.0,0.0590856502219189,0.052549473312227764,0.01194712334000226,0.033781568281132594,0.052468095012902546,0.0738585749788204,1000,0
Sharpe_xb,0.0,0.0205875258157079,0.00708086941962102,0.022757528185242855,-0.030849503858339605,0.0076954738933893,0.043725782021998054,1000,0
E_xr,0.0,0.048028200074335,0.05352813416500449,0.017238059131654864,0.023612914751159057,0.05386854980993365,0.08086145305907462,1000,0
sd_xr,0.0,0.1945570010585953,0.19069678130753487,0.019487301030756597,0.1585064338813701,0.19102597545241834,0.22298839672448748,1000,0
Sharpe_xr,0.0,0.3441377747420527,0.38224948259523717,0.10066220457894831,0.21780163952073434,0.38013718859150514,0.5662415018726688,1000,0
Phi_xb_cape,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1000,0
Phi_xb_spr,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1000,0
Phi_xb_y1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1000,0
Phi_xr_cape,0.0,0.1377726991183085,0.1145998963455073,0.06117949723585374,0.026605467830647305,0.10888630806462116,0.21419497551983266,1000,0
Phi_xr_spr,0.0,0.3097305748435091,1.3701714020611941,83.25796168437759,-21.949360059496655,0.1864619136228411,29.876896347055144,1000,0
Phi_xr_y1,0.0,-1.3179316231760545,-0.32614701247838307,60.77494753254877,-16.54223752570898,-1.1277510459780493,20.72705375014189,1000,0
Phi_spr_spr,0.0,0.4628482631368065,-0.1908294248118545,1.8841979905969843,-1.4132561015396634,-0.1587594771747035,0.47545709705679384,1000,0
spr_halflife,0.0,0.8997751389570284,1.7694303426182216,15.30304074213098,0.18997115310092058,0.51189748046952,3.6350022670959166,864,0
state_max_eig,0.0,0.9344499017679998,0.7968858361791366,0.06559152432663709,0.678495830151767,0.8017557657269367,0.8929734120257417,1000,0
sd_v_xb,0.0,0.0585789327541973,0.05316946928384438,0.01217324085064543,0.03401133176487971,0.053080764709714345,0.07501114140683975,1000,0
corr_vxr_vxb,0.0,-0.0785775316477498,-0.04508816669190984,0.12197969642351868,-0.2373478832350768,-0.046574612169541854,0.1552743989216947,1000,0
corr_vy10_vxb,0.0,-0.9912479622167372,-0.9858925974192669,0.012302196135191483,-0.9969963985351344,-0.9898125908489608,-0.9635387814425347,1000,0
E_spr,0.5,0.0035012554924098,0.0023939573420339337,0.001157940475887461,0.000356580702087035,0.0024099209215996996,0.004336196200487875,1000,0
sd_spr,0.5,0.0159995911946833,0.017941433141339558,0.0028797555530094728,0.013664057692047434,0.01771403176908565,0.022820655534420115,1000,0
E_xb,0.5,0.0030687623009949,0.00032077917544460783,0.002538503521504717,-0.0039433550658716145,0.0003415187211097,0.004315963183908399,1000,0
sd_xb,0.5,0.0579965888504032,0.07861008960516935,0.014004710838194745,0.056696697579006104,0.07793261869860316,0.10236001686019561,1000,0
Sharpe_xb,0.5,0.0819111012268323,0.04493653169209884,0.03197087402860737,-0.007629574148305269,0.0438831408618732,0.09743089389574953,1000,0
E_xr,0.5,0.048028200074335,0.05352813416500449,0.017238059131654864,0.023612914751159057,0.05386854980993365,0.08086145305907462,1000,0
sd_xr,0.5,0.1945570010585953,0.19069678130753487,0.019487301030756597,0.1585064338813701,0.19102597545241834,0.22298839672448748,1000,0
Sharpe_xr,0.5,0.3441377747420527,0.38224948259523717,0.10066220457894831,0.21780163952073434,0.38013718859150514,0.5662415018726688,1000,0
Phi_xb_cape,0.5,-0.0078713213117399,-0.011412290006915874,0.022424110598270673,-0.04526152538884725,-0.011375786753781,0.024145225112940493,1000,0
Phi_xb_spr,0.5,1.1098913161051671,2.5385177596724433,1.156050017237443,1.0824047447785299,2.2977614906884414,4.7501586423270865,1000,0
Phi_xb_y1,0.5,0.422183165261972,1.792864962513317,0.7784090122870247,0.7781112393865954,1.6669220796641804,3.220652711231611,1000,0
Phi_xr_cape,0.5,0.1377726991183086,0.11459989634550723,0.0611794972358539,0.026605467830647305,0.10888630806462121,0.21419497551983277,1000,0
Phi_xr_spr,0.5,0.1767568396013776,0.2207832969774564,2.615320239729297,-3.912228573643455,0.0908252878343325,4.3620192214063565,1000,0
